timestamp,frame,dt_ms,mode,pipeline,run_tag,centroid_u,centroid_v,ekf_x,ekf_y,ekf_z,ekf_vx,ekf_vy,ekf_vz,ekf_uncertainty,depth_metric,servo_dx_mm,servo_dy_mm,servo_dz_mm,err_m,iter_time_ms,robot_x_mm,robot_y_mm,robot_z_mm,fp_raw_x,fp_raw_y,fp_raw_z
1776548623.034864,1,100.3,detect,ekf,,573,434,-0.048789,0.053886,0.509735,0.000000,0.000000,0.000000,0.4472135954999579,0.5097350594502097,0.00,0.00,0.00,0.000000,2021.2,205.26,5.56,-52.85,,,
1776548625.056714,2,2021.8,track,ekf,,567,368,-0.053606,0.006320,0.514411,-0.002325,-0.022962,0.002205,1.4639527282088256,,0.00,0.00,0.00,0.000000,927.6,205.26,13.56,-52.85,,,
1776548625.984582,3,927.9,track,ekf,,578,358,-0.054306,-0.003777,0.595699,0.004788,-0.017064,0.029257,1.075375319299044,,0.00,0.00,0.00,0.000000,102.6,205.26,13.56,-52.85,,,
1776548626.087535,4,103.0,track,ekf,,579,358,-0.042625,-0.000850,0.493138,0.007177,-0.001601,-0.005257,0.35032718849283784,,0.00,0.00,0.00,0.000000,103.5,205.26,13.56,-52.85,,,
1776548626.191413,5,103.9,track,ekf,,579,358,-0.042464,-0.001345,0.488816,0.002119,-0.003769,-0.007160,0.09687437548495932,0.48861676766451506,0.00,0.00,0.00,0.000000,135.1,205.26,13.56,-52.85,,,
1776548626.327056,6,135.6,track,ekf,,579,334,-0.040881,-0.015617,0.469135,0.000633,-0.064244,-0.012059,0.10338435187755983,,0.00,0.00,0.00,0.000000,93.5,205.26,13.56,-52.85,,,
1776548626.420929,7,93.9,track,ekf,,579,358,-0.050868,-0.010027,0.585031,-0.006049,-0.003753,0.078728,0.09501706955328287,,0.00,0.00,0.00,0.000000,199.1,205.26,13.56,-52.85,,,
1776548626.620247,8,199.3,track,ekf,,579,358,-0.050334,-0.002584,0.577905,-0.005478,0.022985,0.062537,0.11019458944892958,,0.00,0.00,0.00,0.000000,100.9,205.26,13.56,-52.85,,,
1776548626.721430,9,101.2,track,ekf,,579,358,-0.051283,-0.001345,0.588579,-0.005920,0.018321,0.066597,0.11826542833441446,,0.00,0.00,0.00,0.000000,102.0,205.26,13.56,-52.85,,,
1776548626.823858,10,102.4,track,ekf,,579,334,-0.045668,-0.016221,0.523954,0.000279,-0.064003,-0.003916,0.08004216860056905,0.47976906663927743,0.00,0.00,0.00,0.000000,135.0,205.26,13.56,-52.85,,,
1776548626.959367,11,135.5,track,ekf,,579,358,-0.052001,-0.008236,0.596759,-0.005977,0.005020,0.068698,0.08447442574735049,,0.00,0.00,0.00,0.000000,198.0,205.26,13.56,-52.85,,,
1776548627.157637,12,198.3,track,ekf,,579,358,-0.052124,-0.002347,0.598158,-0.005004,0.020843,0.057444,0.10010679965390114,,0.00,0.00,0.00,0.000000,99.4,205.26,13.56,-52.85,,,
1776548627.257227,13,99.6,track,ekf,,579,358,-0.052845,-0.001360,0.606421,-0.005223,0.015990,0.059920,0.10971909195584414,,0.00,0.00,0.00,0.000000,99.8,205.26,13.56,-52.85,,,
1776548627.357207,14,100.0,track,ekf,,579,358,-0.053350,-0.001209,0.612218,-0.005225,0.009168,0.059929,0.12146717265293583,,0.00,0.00,0.00,0.000000,102.5,205.26,13.56,-52.85,,,
1776548627.459996,15,102.8,track,ekf,,579,358,-0.046380,-0.001444,0.532134,0.001785,0.002094,-0.020986,0.08052596356569085,0.4842895901457228,0.00,0.00,0.00,0.000000,140.8,205.26,12.68,-52.85,,,
1776548627.601099,16,141.1,track,ekf,,579,358,-0.046104,-0.001453,0.529035,0.001841,0.000904,-0.021061,0.09190198801008549,,0.00,0.00,0.00,0.000000,95.4,205.26,12.68,-52.85,,,
1776548627.696784,17,95.7,track,ekf,,579,335,-0.045644,-0.014444,0.523777,0.002009,-0.061426,-0.022975,0.10047154607719717,,0.00,0.00,0.00,0.000000,103.0,205.26,12.68,-52.85,,,
1776548627.800003,18,103.2,track,ekf,,577,366,-0.056335,-0.004969,0.633541,-0.011999,0.014121,0.076881,0.10088370977702725,,0.00,0.00,0.00,0.000000,103.6,205.26,6.45,-52.85,,,
1776548627.903881,19,103.9,track,ekf,,574,367,-0.055997,0.003922,0.601448,-0.017985,0.046040,0.043578,0.10249243335611523,,0.00,0.00,0.00,0.000000,103.6,205.26,6.45,-52.85,,,
1776548628.007708,20,103.8,track,ekf,,570,367,-0.054382,0.006392,0.547354,-0.020854,0.032291,-0.007966,0.07311764735528127,0.48827021509295837,0.00,0.00,0.00,0.000000,135.5,205.26,6.45,-52.85,,,
1776548628.143524,21,135.8,track,ekf,,569,367,-0.055946,0.006469,0.548327,-0.015329,0.015188,-0.004975,0.08225930354173382,,0.00,0.00,0.00,0.000000,98.1,205.26,5.56,-52.85,,,
1776548628.242018,22,98.5,track,ekf,,568,368,-0.056447,0.006665,0.546105,-0.011345,0.009194,-0.005653,0.08933787022200182,,0.00,0.00,0.00,0.000000,98.0,205.26,5.56,-52.85,,,
1776548628.340214,23,98.2,track,ekf,,567,368,-0.056966,0.006563,0.544631,-0.008938,0.004489,-0.005910,0.09731747903737054,,0.00,0.00,0.00,0.000000,95.4,205.26,5.56,-52.85,,,
1776548628.435810,24,95.6,track,ekf,,567,368,-0.056985,0.006417,0.543711,-0.005170,0.001793,-0.005708,0.10576404302459695,,0.00,0.00,0.00,0.000000,104.6,205.26,5.56,-52.85,,,
1776548628.540606,25,104.8,track,ekf,,567,369,-0.053669,0.006517,0.513075,0.000624,0.002971,-0.030617,0.07606422812518938,0.4903564377175533,0.00,0.00,0.00,0.000000,135.7,205.26,5.57,-48.69,,,
1776548628.676690,26,136.1,track,ekf,,567,368,-0.053175,0.006010,0.509048,0.002326,-0.000756,-0.030312,0.08545412407794287,,0.00,0.00,0.00,0.000000,98.1,205.26,5.57,-48.69,,,
1776548628.775076,27,98.4,track,ekf,,568,370,-0.052285,0.006924,0.506266,0.005553,0.003968,-0.029896,0.09300635144347803,,0.00,0.00,0.00,0.000000,102.9,205.26,5.57,-48.69,,,
1776548628.878175,28,103.1,track,ekf,,568,373,-0.051670,0.008872,0.502444,0.005456,0.011329,-0.030586,0.10153517355697067,,0.00,0.00,0.00,0.000000,98.3,205.26,5.56,-44.85,,,
1776548628.976664,29,98.5,track,ekf,,568,376,-0.051183,0.011051,0.498151,0.004699,0.016492,-0.031781,0.11004390822017959,,0.00,0.00,0.00,0.000000,102.3,205.26,5.56,-44.85,,,
