timestamp,frame,dt_ms,mode,pipeline,run_tag,centroid_u,centroid_v,ekf_x,ekf_y,ekf_z,ekf_vx,ekf_vy,ekf_vz,ekf_uncertainty,depth_metric,servo_dx_mm,servo_dy_mm,servo_dz_mm,err_m,iter_time_ms,robot_x_mm,robot_y_mm,robot_z_mm,fp_raw_x,fp_raw_y,fp_raw_z,err_px
1776648798.477111,1,100.6,detect,ibvs,cake_box_pbvs,667,488,0.021657,0.102672,0.561487,0.000000,0.000000,0.000000,0.4472135954999579,0.5614871505470891,0.00,0.00,0.00,0.000000,2206.9,205.25,5.56,-52.85,,,,0.00
1776648800.684232,2,2207.1,track,ibvs,cake_box_pbvs,667,489,0.021652,0.103448,0.561343,-0.000002,0.000344,-0.000063,1.5919290307228877,,0.00,0.00,0.00,0.000000,977.3,205.25,13.56,-52.85,,,,0.00
1776648801.661732,3,977.5,track,ibvs,cake_box_pbvs,677,485,0.029710,0.100465,0.562544,0.008186,-0.003145,0.000631,2.2780043785117323,,0.00,0.00,0.00,0.000000,180.3,205.25,13.56,-52.85,,,,0.00
1776648801.842274,4,180.5,track,ibvs,cake_box_pbvs,677,485,0.033623,0.112855,0.632407,0.007735,0.000971,0.021215,0.9972633036268096,,0.00,0.00,0.00,0.000000,179.9,205.25,13.56,-52.85,,,,0.00
1776648802.022425,5,180.2,track,ibvs,cake_box_pbvs,678,484,0.028509,0.093705,0.528631,0.001251,-0.004261,-0.010045,0.10112127363000026,0.5270007451886715,0.00,0.00,0.00,0.000000,121.9,205.25,13.56,-52.85,,,,0.00
1776648802.144633,6,122.2,track,ibvs,cake_box_pbvs,677,485,0.027979,0.093932,0.526918,-0.001552,-0.000698,-0.010107,0.10653791991850657,,0.00,0.00,0.00,0.000000,177.9,205.25,13.56,-52.85,,,,0.00
1776648802.322785,7,178.2,track,ibvs,cake_box_pbvs,678,484,0.028430,0.093206,0.525605,0.001047,-0.003176,-0.009755,0.12082074676322185,,0.00,0.00,0.00,0.000000,91.6,205.25,13.56,-52.85,,,,0.00
1776648802.414608,8,91.8,track,ibvs,cake_box_pbvs,677,485,0.027955,0.093578,0.525125,-0.001912,-0.000195,-0.009648,0.1304233538390979,,0.00,0.00,0.00,0.000000,183.1,205.25,13.56,-52.85,,,,0.00
1776648802.597959,9,183.4,track,ibvs,cake_box_pbvs,678,484,0.028333,0.092891,0.523800,0.000675,-0.002735,-0.009021,0.15319452887343415,,0.00,0.00,0.00,0.000000,91.4,205.25,13.56,-52.85,,,,0.00
1776648802.689596,10,91.6,track,ibvs,cake_box_pbvs,677,485,0.028118,0.094146,0.528292,-0.001894,0.000830,-0.004751,0.08685022627184942,0.5300288429445107,0.00,0.00,0.00,0.000000,213.4,205.25,13.56,-52.85,,,,0.00
1776648802.903266,11,213.7,track,ibvs,cake_box_pbvs,678,484,0.028543,0.093545,0.527547,0.000815,-0.001808,-0.004264,0.10609428826281332,,0.00,0.00,0.00,0.000000,88.2,205.25,13.56,-52.85,,,,0.00
1776648802.991632,12,88.4,track,ibvs,cake_box_pbvs,677,485,0.028075,0.094008,0.527514,-0.002055,0.001103,-0.004236,0.11544913879692897,,0.00,0.00,0.00,0.000000,183.3,205.25,13.27,-52.85,,,,0.00
1776648803.175224,13,183.6,track,ibvs,cake_box_pbvs,677,485,0.027828,0.094092,0.526811,-0.001587,0.000636,-0.004126,0.13713959812984194,,0.00,0.00,0.00,0.000000,182.1,205.25,13.27,-52.85,,,,0.00
1776648803.357551,14,182.3,track,ibvs,cake_box_pbvs,677,487,0.027763,0.095255,0.525835,-0.000754,0.004523,-0.004889,0.16082469060397622,,0.00,0.00,0.00,0.000000,181.7,205.25,6.35,-52.85,,,,0.00
1776648803.539508,15,182.0,track,ibvs,cake_box_pbvs,673,486,0.026757,0.100462,0.556656,-0.008862,0.004229,0.020421,0.08946311969685178,0.5656399283206338,0.00,0.00,0.00,0.000000,122.2,205.25,6.35,-52.85,,,,0.00
1776648803.661967,16,122.5,track,ibvs,cake_box_pbvs,669,487,0.023631,0.101119,0.557892,-0.017923,0.005747,0.019525,0.09828454011386457,,0.00,0.00,0.00,0.000000,88.7,205.25,5.56,-52.85,,,,0.00
1776648803.750932,17,89.0,track,ibvs,cake_box_pbvs,668,487,0.022302,0.101611,0.559913,-0.016667,0.005439,0.019773,0.10530179876389847,,0.00,0.00,0.00,0.000000,93.2,205.25,5.56,-52.85,,,,0.00
1776648803.844387,18,93.5,track,ibvs,cake_box_pbvs,667,488,0.021416,0.102563,0.561778,-0.013448,0.007514,0.019450,0.11354165199279895,,0.00,0.00,0.00,0.000000,93.0,205.25,5.56,-52.85,,,,0.00
1776648803.937664,19,93.3,track,ibvs,cake_box_pbvs,667,488,0.021286,0.103053,0.563251,-0.008076,0.006787,0.019311,0.1222917471239812,,0.00,0.00,0.00,0.000000,91.0,205.25,5.56,-52.85,,,,0.00
1776648804.029044,20,91.4,track,ibvs,cake_box_pbvs,667,488,0.020510,0.098631,0.538888,-0.004273,0.001799,-0.000758,0.08058912474684103,0.523605622933171,0.00,0.00,0.00,0.000000,213.4,205.25,5.57,-50.14,,,,0.00
1776648804.242722,21,213.7,track,ibvs,cake_box_pbvs,667,488,0.020643,0.098543,0.538603,-0.000952,0.000393,-0.000669,0.09583136043452979,,0.00,0.00,0.00,0.000000,177.9,205.25,5.57,-50.14,,,,0.00
1776648804.420860,22,178.1,track,ibvs,cake_box_pbvs,667,491,0.020725,0.100461,0.538250,-0.000005,0.007363,-0.001908,0.11084485398674422,,0.00,0.00,0.00,0.000000,90.9,205.25,5.57,-45.07,,,,0.00
1776648804.511993,23,91.1,track,ibvs,cake_box_pbvs,671,537,0.021856,0.121465,0.506409,0.010145,0.131768,-0.047329,0.11902576855307744,,0.00,0.00,0.00,0.000000,90.6,205.25,5.57,-45.07,,,,0.00
1776648804.602977,24,91.0,track,ibvs,cake_box_pbvs,675,541,0.025602,0.136602,0.526045,0.020548,0.128847,-0.027980,0.08679097704971019,,0.00,0.00,0.00,0.000000,93.4,205.25,5.57,-45.07,,,,0.00
1776648804.696730,25,93.8,track,ibvs,cake_box_pbvs,679,543,0.031177,0.153447,0.571860,0.030744,0.111232,0.021968,0.06934813832154321,0.6129425651248939,0.00,0.00,0.00,0.000000,121.4,205.25,5.57,-45.07,,,,0.00
1776648804.818395,26,121.7,track,ibvs,cake_box_pbvs,679,543,0.031966,0.150511,0.562615,0.020861,0.055554,0.037078,0.07619806570078565,,0.00,0.00,0.00,0.000000,91.4,205.25,5.57,-44.85,,,,0.00
