timestamp,frame,dt_ms,mode,pipeline,run_tag,centroid_u,centroid_v,ekf_x,ekf_y,ekf_z,ekf_vx,ekf_vy,ekf_vz,ekf_uncertainty,depth_metric,servo_dx_mm,servo_dy_mm,servo_dz_mm,err_m,iter_time_ms,robot_x_mm,robot_y_mm,robot_z_mm,fp_raw_x,fp_raw_y,fp_raw_z
1776645458.794940,1,100.5,detect,ibvs,cardboard_box_pbvs,598,469,-0.034738,0.090154,0.578968,0.000000,0.000000,0.000000,0.4472135954999579,0.5789678747498674,0.00,0.00,0.00,0.000000,2052.3,205.26,5.56,-52.85,,,
1776645460.847820,2,2052.9,track,ibvs,cardboard_box_pbvs,619,462,-0.017485,0.084665,0.580901,0.008209,-0.002611,0.000899,1.4852703292120322,,0.00,0.00,0.00,0.000000,998.5,205.26,13.56,-52.85,,,
1776645461.846531,3,998.7,track,ibvs,cardboard_box_pbvs,636,482,-0.003328,0.101371,0.581698,0.014286,0.016294,-0.001465,1.9071909939335614,,0.00,0.00,0.00,0.000000,91.3,205.26,13.56,-52.85,,,
1776645461.938046,4,91.5,track,ibvs,cardboard_box_pbvs,633,482,-0.005504,0.112343,0.644414,-0.004671,0.023861,0.019457,0.3224578317775782,,0.00,0.00,0.00,0.000000,90.8,205.26,13.56,-52.85,,,
1776645462.029055,5,91.0,track,ibvs,cardboard_box_pbvs,633,482,-0.005780,0.097347,0.558983,-0.009705,-0.002683,-0.006423,0.09639474001181271,0.5511007538849605,0.00,0.00,0.00,0.000000,123.3,205.26,13.56,-52.85,,,
1776645462.152635,6,123.6,track,ibvs,cardboard_box_pbvs,633,482,-0.005823,0.097459,0.559411,-0.004571,-0.001669,-0.006768,0.10071442006994634,,0.00,0.00,0.00,0.000000,89.9,205.26,13.56,-52.85,,,
1776645462.242750,7,90.1,track,ibvs,cardboard_box_pbvs,633,482,-0.005762,0.097372,0.558817,-0.002326,-0.001414,-0.006972,0.10762680586331368,,0.00,0.00,0.00,0.000000,91.8,205.26,13.56,-52.85,,,
1776645462.334909,8,92.2,track,ibvs,cardboard_box_pbvs,633,482,-0.005691,0.097263,0.558130,-0.000962,-0.001289,-0.007053,0.11673706611866122,,0.00,0.00,0.00,0.000000,90.9,205.26,13.56,-52.85,,,
1776645462.426220,9,91.3,track,ibvs,cardboard_box_pbvs,633,482,-0.005632,0.097153,0.557464,-0.000266,-0.001237,-0.007078,0.12727337384376006,,0.00,0.00,0.00,0.000000,90.0,205.26,13.56,-52.85,,,
1776645462.516462,10,90.2,track,ibvs,cardboard_box_pbvs,633,482,-0.005575,0.096736,0.555050,0.000047,-0.001516,-0.008785,0.08212015356541313,0.55410219375068,0.00,0.00,0.00,0.000000,121.9,205.26,13.56,-52.85,,,
1776645462.638633,11,122.2,track,ibvs,cardboard_box_pbvs,633,480,-0.005548,0.095342,0.554135,0.000139,-0.006643,-0.007911,0.09311124844165107,,0.00,0.00,0.00,0.000000,91.1,205.26,13.56,-52.85,,,
1776645462.730151,12,91.5,track,ibvs,cardboard_box_pbvs,633,479,-0.005532,0.094228,0.553235,0.000142,-0.008878,-0.007808,0.10268152711331317,,0.00,0.00,0.00,0.000000,93.5,205.26,13.56,-52.85,,,
1776645462.823874,13,93.7,track,ibvs,cardboard_box_pbvs,633,479,-0.005525,0.093802,0.552622,0.000122,-0.007052,-0.007902,0.11350572316712187,,0.00,0.00,0.00,0.000000,92.9,205.26,13.56,-52.85,,,
1776645462.917049,14,93.2,track,ibvs,cardboard_box_pbvs,633,477,-0.005519,0.092513,0.552024,0.000100,-0.010088,-0.007416,0.1251108532936624,,0.00,0.00,0.00,0.000000,92.7,205.26,13.56,-52.85,,,
1776645463.010016,15,93.0,track,ibvs,cardboard_box_pbvs,633,477,-0.005541,0.092466,0.554171,0.000060,-0.007715,-0.004852,0.08172959170095091,0.5556292109570399,0.00,0.00,0.00,0.000000,125.3,205.26,13.56,-52.85,,,
1776645463.135673,16,125.7,track,ibvs,cardboard_box_pbvs,632,461,-0.006164,0.082550,0.554720,-0.002595,-0.045495,0.000346,0.09261912932079545,,0.00,0.00,0.00,0.000000,91.7,205.26,13.56,-52.85,,,
1776645463.227734,17,92.1,track,ibvs,cardboard_box_pbvs,632,461,-0.006405,0.080215,0.559029,-0.002440,-0.039488,0.003921,0.09825872164548093,,0.00,0.00,0.00,0.000000,95.3,205.26,13.56,-52.85,,,
1776645463.323218,18,95.5,track,ibvs,cardboard_box_pbvs,632,461,-0.006489,0.079875,0.561748,-0.001632,-0.024730,0.005230,0.10762127554792575,,0.00,0.00,0.00,0.000000,93.1,205.26,13.56,-52.85,,,
1776645463.416640,19,93.4,track,ibvs,cardboard_box_pbvs,632,461,-0.006442,0.079621,0.558470,-0.000848,-0.012954,0.001272,0.11716768855606624,,0.00,0.00,0.00,0.000000,94.7,205.26,13.56,-52.85,,,
1776645463.511673,20,95.0,track,ibvs,cardboard_box_pbvs,631,462,-0.006919,0.079612,0.551609,-0.003001,-0.003547,-0.005453,0.07921458661073429,0.5500534400020562,0.00,0.00,0.00,0.000000,123.9,205.26,7.35,-52.85,,,
