timestamp,frame,dt_ms,mode,pipeline,run_tag,centroid_u,centroid_v,ekf_x,ekf_y,ekf_z,ekf_vx,ekf_vy,ekf_vz,ekf_uncertainty,depth_metric,servo_dx_mm,servo_dy_mm,servo_dz_mm,err_m,iter_time_ms,robot_x_mm,robot_y_mm,robot_z_mm,fp_raw_x,fp_raw_y,fp_raw_z
1776646323.584237,1,100.6,detect,foundationpose,cardboard_box_fp,606,458,-0.029710,0.086699,0.619227,0.000000,0.000000,0.000000,0.3,0.6192274689674377,0.00,0.00,0.00,0.000000,2572.3,205.25,5.56,-52.85,-0.029710,0.086699,0.619227
1776646326.156781,2,2572.5,track,foundationpose,cardboard_box_fp,604,460,-0.031572,0.088019,0.619075,-0.000719,0.000510,-0.000058,0.013856273674206776,0.6190747022628784,0.00,0.00,0.00,0.000000,62.3,205.25,5.56,-52.85,-0.031572,0.088019,0.619075
1776646326.219312,3,62.5,track,foundationpose,cardboard_box_fp,606,460,-0.030737,0.088297,0.619141,0.007918,0.002930,0.000666,0.011995213222970912,0.6191632151603699,0.00,0.00,0.00,0.000000,30.0,205.25,5.56,-52.85,-0.030434,0.088382,0.619163
1776646326.249563,4,30.3,track,foundationpose,cardboard_box_fp,605,459,-0.030715,0.087673,0.619030,0.005700,-0.004338,-0.000705,0.010711778296228854,0.6189450621604919,0.00,0.00,0.00,0.000000,31.7,205.25,5.56,-52.85,-0.030864,0.087185,0.618945
1776646326.281586,5,32.0,track,foundationpose,cardboard_box_fp,605,459,-0.030859,0.087602,0.619007,0.002610,-0.003695,-0.000714,0.01026043837865359,0.6190062165260315,0.00,0.00,0.00,0.000000,30.3,205.25,5.56,-52.85,-0.031131,0.087658,0.619006
1776646326.312148,6,30.6,track,foundationpose,cardboard_box_fp,605,459,-0.030802,0.087609,0.619067,0.002420,-0.002675,-0.000016,0.00984720956784424,0.6191456317901611,0.00,0.00,0.00,0.000000,31.7,205.25,5.56,-52.85,-0.030824,0.087728,0.619146
1776646326.344140,7,32.0,track,foundationpose,cardboard_box_fp,606,459,-0.030573,0.087739,0.619160,0.003561,-0.001054,0.000696,0.009570725530427092,0.6192628145217896,0.00,0.00,0.00,0.000000,23.1,205.25,5.56,-52.85,-0.030406,0.087976,0.619263
1776646326.367475,8,23.3,track,foundationpose,cardboard_box_fp,605,459,-0.030763,0.087733,0.619131,0.001642,-0.000923,0.000372,0.008945466373951542,0.6190665364265442,0.00,0.00,0.00,0.000000,15.8,205.25,5.56,-52.85,-0.031147,0.087759,0.619067
1776646326.383552,9,16.1,track,foundationpose,cardboard_box_fp,605,459,-0.030852,0.087713,0.619149,0.000860,-0.000962,0.000455,0.008249029781526628,0.6191708445549011,0.00,0.00,0.00,0.000000,15.5,205.25,5.56,-52.85,-0.031062,0.087702,0.619171
1776646326.399266,10,15.7,track,foundationpose,cardboard_box_fp,605,459,-0.030813,0.087680,0.619160,0.001026,-0.001081,0.000479,0.00780900907302611,0.6191672086715698,0.00,0.00,0.00,0.000000,13.7,205.25,5.56,-52.85,-0.030760,0.087641,0.619167
