timestamp,frame,dt_ms,mode,pipeline,run_tag,centroid_u,centroid_v,ekf_x,ekf_y,ekf_z,ekf_vx,ekf_vy,ekf_vz,ekf_uncertainty,depth_metric,servo_dx_mm,servo_dy_mm,servo_dz_mm,err_m,iter_time_ms,robot_x_mm,robot_y_mm,robot_z_mm,fp_raw_x,fp_raw_y,fp_raw_z
1776647171.735348,1,100.7,detect,ekf,cardboard_box_ekf,628,468,-0.009598,0.086383,0.559888,0.000000,0.000000,0.000000,0.4472135954999579,0.5598875384412044,0.00,0.00,0.00,0.000000,2111.1,205.26,5.57,-52.85,,,
1776647173.847022,2,2111.7,track,ekf,cardboard_box_ekf,628,468,-0.009598,0.086383,0.559888,0.000000,0.000000,0.000000,1.5259874312391302,,0.00,0.00,0.00,0.000000,1124.2,205.26,13.57,-52.85,,,
1776647174.971428,3,1124.4,track,ekf,cardboard_box_ekf,661,450,0.016765,0.072147,0.560884,0.023337,-0.012395,0.002312,2.3155111285867767,,0.00,0.00,0.00,0.000000,98.4,205.26,13.57,-52.85,,,
1776647175.070029,4,98.6,track,ekf,cardboard_box_ekf,661,454,0.019002,0.083741,0.630140,0.031689,0.007247,0.020552,0.22593776400391932,,0.00,0.00,0.00,0.000000,101.9,205.26,13.57,-52.85,,,
1776647175.172209,5,102.2,track,ekf,cardboard_box_ekf,662,454,0.017238,0.074753,0.554372,0.004209,0.011419,-0.007889,0.09024139194251586,0.5389149635096191,0.00,0.00,0.00,0.000000,136.6,205.26,13.57,-52.85,,,
1776647175.309140,6,136.9,track,ekf,cardboard_box_ekf,662,462,0.017263,0.079292,0.548212,0.002283,0.026405,-0.009389,0.09484438949221934,,0.00,0.00,0.00,0.000000,92.3,205.26,13.57,-52.85,,,
1776647175.401735,7,92.6,track,ekf,cardboard_box_ekf,662,463,0.017333,0.081107,0.549146,0.001424,0.022539,-0.007274,0.1015221927183738,,0.00,0.00,0.00,0.000000,100.2,205.26,13.57,-52.85,,,
1776647175.502215,8,100.5,track,ekf,cardboard_box_ekf,662,462,0.017351,0.081047,0.550153,0.000686,0.010936,-0.003555,0.1123245935897912,,0.00,0.00,0.00,0.000000,101.2,205.26,13.57,-52.85,,,
1776647175.603589,9,101.4,track,ekf,cardboard_box_ekf,661,454,0.016523,0.074981,0.543494,-0.002557,-0.018150,-0.003939,0.12473042056936615,,0.00,0.00,0.00,0.000000,101.6,205.26,13.57,-52.85,,,
1776647175.705468,10,101.9,track,ekf,cardboard_box_ekf,662,454,0.016980,0.073495,0.546803,0.000315,-0.018446,-0.000083,0.08093932098518347,0.5491220782322639,0.00,0.00,0.00,0.000000,138.0,205.26,13.57,-52.85,,,
1776647175.843716,11,138.2,track,ekf,cardboard_box_ekf,661,454,0.016548,0.073056,0.547584,-0.001703,-0.010278,0.000165,0.09383144059782764,,0.00,0.00,0.00,0.000000,93.3,205.26,13.57,-52.85,,,
1776647175.937186,12,93.5,track,ekf,cardboard_box_ekf,662,462,0.016862,0.077182,0.543167,0.001029,0.016023,-0.005876,0.10377904123681987,,0.00,0.00,0.00,0.000000,102.4,205.26,13.57,-52.85,,,
1776647176.039918,13,102.7,track,ekf,cardboard_box_ekf,661,454,0.016894,0.076372,0.557088,-0.000899,-0.002339,0.010396,0.11360117727134385,,0.00,0.00,0.00,0.000000,104.1,205.26,13.57,-52.85,,,
1776647176.144465,14,104.5,track,ekf,cardboard_box_ekf,661,454,0.016714,0.075050,0.556711,-0.001119,-0.006507,0.009380,0.12579261935660202,,0.00,0.00,0.00,0.000000,97.5,205.26,13.57,-52.85,,,
1776647176.242176,15,97.7,track,ekf,cardboard_box_ekf,662,462,0.016983,0.078092,0.547553,0.001703,0.015393,-0.002998,0.08165112770283081,0.538357061859163,0.00,0.00,0.00,0.000000,134.9,205.26,13.57,-52.85,,,
1776647176.377504,16,135.3,track,ekf,cardboard_box_ekf,661,454,0.016786,0.075779,0.554201,-0.000651,-0.005308,0.005939,0.09243370908383156,,0.00,0.00,0.00,0.000000,95.3,205.26,11.30,-52.85,,,
1776647176.473157,17,95.7,track,ekf,cardboard_box_ekf,662,462,0.017439,0.080234,0.561045,0.001929,0.014440,0.009336,0.10056686682039277,,0.00,0.00,0.00,0.000000,101.7,205.26,11.30,-52.85,,,
1776647176.575121,18,102.0,track,ekf,cardboard_box_ekf,660,454,0.016691,0.078118,0.569281,-0.003239,-0.005763,0.018550,0.11011979399415625,,0.00,0.00,0.00,0.000000,95.6,205.26,11.30,-52.85,,,
1776647176.670930,19,95.8,track,ekf,cardboard_box_ekf,659,462,0.015952,0.082621,0.578046,-0.006118,0.013870,0.022459,0.11923697813462382,,0.00,0.00,0.00,0.000000,96.9,205.26,11.30,-52.85,,,
1776647176.768126,20,97.2,track,ekf,cardboard_box_ekf,656,462,0.013318,0.081592,0.560614,-0.013318,0.013227,0.005755,0.07973387553181813,0.5496359846551134,0.00,0.00,0.00,0.000000,133.6,205.26,5.57,-52.85,,,
1776647176.902128,21,134.0,track,ekf,cardboard_box_ekf,653,463,0.010646,0.082744,0.561312,-0.016901,0.010785,0.006023,0.08939477925063273,,0.00,0.00,0.00,0.000000,93.6,205.26,5.57,-52.85,,,
1776647176.995965,22,93.8,track,ekf,cardboard_box_ekf,651,464,0.008891,0.083544,0.561814,-0.017684,0.009843,0.006093,0.09688930863032971,,0.00,0.00,0.00,0.000000,98.6,205.26,5.57,-52.85,,,
1776647177.094804,23,98.8,track,ekf,cardboard_box_ekf,651,463,0.008395,0.083295,0.562926,-0.011845,0.003945,0.007402,0.10545079806483984,,0.00,0.00,0.00,0.000000,98.9,205.26,5.57,-52.85,,,
1776647177.193934,24,99.1,track,ekf,cardboard_box_ekf,650,463,0.007825,0.083060,0.563151,-0.009012,0.001385,0.007370,0.11451269648711487,,0.00,0.00,0.00,0.000000,98.2,205.26,5.57,-52.85,,,
1776647177.292400,25,98.5,track,ekf,cardboard_box_ekf,650,463,0.007761,0.083103,0.564369,-0.005237,0.000699,0.007914,0.07855494884229093,0.5649448536559819,0.00,0.00,0.00,0.000000,134.9,205.26,5.57,-52.85,,,
1776647177.427581,26,135.2,track,ekf,cardboard_box_ekf,650,464,0.007867,0.083819,0.565263,-0.001926,0.003273,0.007482,0.08784031147600861,,0.00,0.00,0.00,0.000000,97.5,205.26,5.57,-47.38,,,
1776647177.525337,27,97.8,track,ekf,cardboard_box_ekf,650,465,0.007974,0.084658,0.565711,-0.000548,0.005797,0.006942,0.09528227407362863,,0.00,0.00,0.00,0.000000,96.3,205.26,5.57,-47.38,,,
1776647177.621871,28,96.5,track,ekf,cardboard_box_ekf,650,466,0.008042,0.085588,0.566170,0.000029,0.007631,0.006538,0.1032409995641854,,0.00,0.00,0.00,0.000000,100.3,205.26,5.57,-47.38,,,
1776647177.722388,29,100.5,track,ekf,cardboard_box_ekf,650,470,0.008071,0.088217,0.565871,0.000182,0.016596,0.004615,0.11211888650652238,,0.00,0.00,0.00,0.000000,97.1,205.26,5.57,-47.38,,,
1776647177.819713,30,97.3,track,ekf,cardboard_box_ekf,650,473,0.008271,0.092975,0.578946,0.000351,0.023754,0.013875,0.07780865798119674,0.5889765948521829,0.00,0.00,0.00,0.000000,133.3,205.26,5.57,-44.85,,,
1776647177.953279,31,133.6,track,ekf,cardboard_box_ekf,650,474,0.008311,0.095031,0.581487,0.000301,0.018943,0.015153,0.08672603784319885,,0.00,0.00,0.00,0.000000,94.3,205.26,5.57,-44.85,,,
