timestamp,frame,dt_ms,mode,pipeline,run_tag,centroid_u,centroid_v,ekf_x,ekf_y,ekf_z,ekf_vx,ekf_vy,ekf_vz,ekf_uncertainty,depth_metric,servo_dx_mm,servo_dy_mm,servo_dz_mm,err_m,iter_time_ms,robot_x_mm,robot_y_mm,robot_z_mm,fp_raw_x,fp_raw_y,fp_raw_z,err_px
1776647516.620952,1,100.8,detect,ekf,cardboard_box_ekf,629,469,-0.008750,0.086706,0.556828,0.000000,0.000000,0.000000,0.4472135954999579,0.5568279006010091,0.00,0.00,0.00,0.000000,2178.3,205.26,5.56,-52.85,,,,
1776647518.799483,2,2178.5,track,ekf,cardboard_box_ekf,652,484,0.009570,0.098394,0.555264,0.008235,0.005254,-0.000689,1.5722731755163926,,0.00,0.00,0.00,0.000000,998.2,205.26,13.56,-52.85,,,,
1776647519.797932,3,998.4,track,ekf,cardboard_box_ekf,662,469,0.019250,0.096981,0.611379,0.010268,-0.007120,0.019157,1.8607916451842652,,0.00,0.00,0.00,0.000000,96.2,205.26,13.56,-52.85,,,,
1776647519.894543,4,96.6,track,ekf,cardboard_box_ekf,662,462,0.012451,0.056520,0.403829,-0.001726,-0.024788,-0.042840,0.39651541000811685,,0.00,0.00,0.00,0.000000,95.3,205.26,13.56,-52.85,,,,
1776647519.990411,5,95.9,track,ekf,cardboard_box_ekf,662,462,0.016640,0.075841,0.531520,0.000557,-0.025534,0.003154,0.09763043439940995,0.5373048380422825,0.00,0.00,0.00,0.000000,139.1,205.26,13.56,-52.85,,,,
1776647520.130045,6,139.6,track,ekf,cardboard_box_ekf,662,454,0.016779,0.071843,0.533890,0.000555,-0.028852,0.003095,0.10208716894726975,,0.00,0.00,0.00,0.000000,102.7,205.26,13.56,-52.85,,,,
1776647520.233059,7,103.0,track,ekf,cardboard_box_ekf,662,455,0.016725,0.071347,0.531773,0.000474,-0.015161,0.005434,0.11065633578986048,,0.00,0.00,0.00,0.000000,99.8,205.26,13.56,-52.85,,,,
1776647520.333125,8,100.1,track,ekf,cardboard_box_ekf,662,454,0.016673,0.070801,0.530160,0.000302,-0.009310,0.004550,0.1206616427468461,,0.00,0.00,0.00,0.000000,102.0,205.26,13.56,-52.85,,,,
1776647520.435488,9,102.4,track,ekf,cardboard_box_ekf,662,454,0.016648,0.070764,0.529474,0.000185,-0.004449,0.003696,0.1329441031538694,,0.00,0.00,0.00,0.000000,104.5,205.26,13.56,-52.85,,,,
1776647520.540175,10,104.7,track,ekf,cardboard_box_ekf,662,455,0.017120,0.073471,0.544600,0.000573,0.003070,0.017469,0.08335911115567103,0.5520271225015567,0.00,0.00,0.00,0.000000,134.2,205.26,13.56,-52.85,,,,
1776647520.674623,11,134.4,track,ekf,cardboard_box_ekf,661,454,0.016571,0.073552,0.547083,-0.002032,0.001662,0.017807,0.09548563138188707,,0.00,0.00,0.00,0.000000,94.5,205.26,13.56,-52.85,,,,
1776647520.769477,12,94.9,track,ekf,cardboard_box_ekf,661,462,0.016450,0.078354,0.549001,-0.001781,0.023252,0.015465,0.10541826565617697,,0.00,0.00,0.00,0.000000,104.0,205.26,13.56,-52.85,,,,
1776647520.873829,13,104.4,track,ekf,cardboard_box_ekf,662,462,0.017076,0.080516,0.551647,0.001863,0.021549,0.016668,0.11625767634410913,,0.00,0.00,0.00,0.000000,103.0,205.26,13.56,-52.85,,,,
1776647520.977112,14,103.3,track,ekf,cardboard_box_ekf,662,454,0.017501,0.077118,0.558055,0.002530,-0.006070,0.025574,0.1288147746763879,,0.00,0.00,0.00,0.000000,101.8,205.26,13.56,-52.85,,,,
1776647521.079158,15,102.0,track,ekf,cardboard_box_ekf,662,454,0.017338,0.074179,0.550534,0.001743,-0.011281,0.016766,0.08178265226361264,0.5471484512122434,0.00,0.00,0.00,0.000000,134.0,205.25,13.56,-52.85,,,,
1776647521.213562,16,134.4,track,ekf,cardboard_box_ekf,661,454,0.016802,0.074018,0.553494,-0.001490,-0.006118,0.016922,0.09276539358382052,,0.00,0.00,0.00,0.000000,97.0,205.25,13.56,-52.85,,,,
1776647521.310817,17,97.3,track,ekf,cardboard_box_ekf,661,454,0.016644,0.074208,0.554779,-0.001514,-0.002303,0.016247,0.10168623218660759,,0.00,0.00,0.00,0.000000,104.3,205.25,13.56,-52.85,,,,
1776647521.415495,18,104.7,track,ekf,cardboard_box_ekf,661,454,0.016632,0.074492,0.556124,-0.000806,0.000266,0.015696,0.11203331350214235,,0.00,0.00,0.00,0.000000,97.4,205.26,9.07,-52.85,,,,
1776647521.513114,19,97.6,track,ekf,cardboard_box_ekf,661,454,0.016678,0.074766,0.557485,-0.000208,0.001496,0.015420,0.12229705354079581,,0.00,0.00,0.00,0.000000,103.3,205.26,9.07,-52.85,,,,
1776647521.616644,20,103.5,track,ekf,cardboard_box_ekf,658,463,0.014593,0.078728,0.546593,-0.008285,0.024776,0.002527,0.08075770631774318,0.5404528546940507,0.00,0.00,0.00,0.000000,133.8,205.26,9.07,-52.85,,,,
1776647521.750920,21,134.3,track,ekf,cardboard_box_ekf,654,462,0.011483,0.080438,0.548893,-0.016616,0.017429,0.005194,0.08985571907665615,,0.00,0.00,0.00,0.000000,97.4,205.26,5.56,-52.85,,,,
1776647521.848538,22,97.6,track,ekf,cardboard_box_ekf,652,463,0.009525,0.081120,0.549048,-0.018134,0.012925,0.005556,0.09755531806032396,,0.00,0.00,0.00,0.000000,98.6,205.26,5.56,-52.85,,,,
1776647521.947401,23,98.9,track,ekf,cardboard_box_ekf,651,463,0.008402,0.081255,0.549554,-0.014959,0.007664,0.006350,0.10610100335799864,,0.00,0.00,0.00,0.000000,97.1,205.26,5.56,-52.85,,,,
1776647522.044707,24,97.3,track,ekf,cardboard_box_ekf,650,464,0.007616,0.081778,0.549968,-0.011798,0.006760,0.006366,0.11507926462098703,,0.00,0.00,0.00,0.000000,98.7,205.26,5.56,-52.85,,,,
1776647522.143650,25,98.9,track,ekf,cardboard_box_ekf,650,464,0.007633,0.083817,0.562928,-0.007035,0.006124,0.016705,0.07874139601160085,0.571308377746887,0.00,0.00,0.00,0.000000,133.0,205.26,5.57,-51.80,,,,
1776647522.277050,26,133.4,track,ekf,cardboard_box_ekf,650,463,0.007783,0.083444,0.565016,-0.002546,0.001386,0.017253,0.08794054339590969,,0.00,0.00,0.00,0.000000,95.1,205.26,5.57,-51.80,,,,
1776647522.372372,27,95.3,track,ekf,cardboard_box_ekf,650,464,0.007944,0.084017,0.566604,-0.000663,0.003443,0.016954,0.0951875830757999,,0.00,0.00,0.00,0.000000,96.1,205.26,5.57,-51.80,,,,
1776647522.468660,28,96.3,track,ekf,cardboard_box_ekf,650,465,0.008050,0.084964,0.568023,0.000142,0.006419,0.016413,0.10316510931957533,,0.00,0.00,0.00,0.000000,103.7,205.26,5.57,-45.64,,,,
1776647522.572583,29,103.9,track,ekf,cardboard_box_ekf,650,467,0.008111,0.086622,0.569114,0.000377,0.011185,0.015340,0.11236473320542546,,0.00,0.00,0.00,0.000000,95.7,205.26,5.57,-45.64,,,,
1776647522.668517,30,95.9,track,ekf,cardboard_box_ekf,649,457,0.007894,0.085008,0.594083,-0.001981,-0.014258,0.037550,0.07787147721367772,0.6062768720463984,0.00,0.00,0.00,0.000000,134.0,205.26,5.57,-45.64,,,,
1776647522.802786,31,134.3,detect,ekf,cardboard_box_ekf,629,479,-0.005415,0.099717,0.613346,-0.055819,0.045584,0.042523,0.08626942860098469,,0.00,0.00,0.00,0.000000,259.7,205.26,5.57,-44.85,,,,
1776647523.063100,32,260.3,track,ekf,cardboard_box_ekf,629,480,-0.011480,0.111459,0.647121,-0.032817,0.038769,0.061369,0.09996141978524821,,0.00,0.00,0.00,0.000000,96.5,205.26,5.57,-44.85,,,,
1776647523.159807,33,96.7,track,ekf,cardboard_box_ekf,629,480,-0.011350,0.111816,0.647156,-0.017317,0.026739,0.059518,0.10723022450701393,,0.00,0.00,0.00,0.000000,96.7,205.26,5.57,-44.85,,,,
