timestamp,frame,dt_ms,mode,pipeline,run_tag,centroid_u,centroid_v,ekf_x,ekf_y,ekf_z,ekf_vx,ekf_vy,ekf_vz,ekf_uncertainty,depth_metric,servo_dx_mm,servo_dy_mm,servo_dz_mm,err_m,iter_time_ms,robot_x_mm,robot_y_mm,robot_z_mm,fp_raw_x,fp_raw_y,fp_raw_z,err_px
1776647842.845257,1,100.6,detect,ibvs,protein_bar_pbvs,664,440,0.016036,0.053455,0.467727,0.000000,0.000000,0.000000,0.4472135954999579,0.46772727325416663,0.00,0.00,0.00,0.000000,2122.4,205.25,5.56,-52.85,,,,0.00
1776647844.968172,2,2122.9,track,ibvs,protein_bar_pbvs,664,440,0.016036,0.053455,0.467727,0.000000,0.000000,0.000000,1.5339202921476858,,0.00,0.00,0.00,0.000000,1070.1,205.25,13.56,-52.85,,,,0.00
1776647846.038466,3,1070.3,track,ibvs,protein_bar_pbvs,675,439,0.023381,0.052780,0.467668,0.006834,-0.000640,-0.000161,2.285173208290042,,0.00,0.00,0.00,0.000000,183.6,205.25,13.56,-52.85,,,,0.00
1776647846.222265,4,183.8,track,ibvs,protein_bar_pbvs,675,439,0.026349,0.059100,0.523800,0.006346,0.001347,0.016389,1.0163714626661042,,0.00,0.00,0.00,0.000000,181.7,205.25,13.56,-52.85,,,,0.00
1776647846.404199,5,181.9,track,ibvs,protein_bar_pbvs,675,439,0.022933,0.052041,0.461031,-0.000596,-0.000171,-0.001918,0.09999399772039476,0.46063473492674545,0.00,0.00,0.00,0.000000,214.9,205.25,13.56,-52.85,,,,0.00
1776647846.619380,6,215.2,track,ibvs,protein_bar_pbvs,675,439,0.023019,0.051997,0.460715,0.000100,-0.000241,-0.001983,0.11198023495502571,,0.00,0.00,0.00,0.000000,181.7,205.25,13.56,-52.85,,,,0.00
1776647846.801260,7,181.9,track,ibvs,protein_bar_pbvs,675,439,0.023020,0.051954,0.460357,0.000031,-0.000235,-0.001978,0.12979098934995503,,0.00,0.00,0.00,0.000000,183.1,205.25,13.56,-52.85,,,,0.00
1776647846.984568,8,183.3,track,ibvs,protein_bar_pbvs,675,439,0.023002,0.051914,0.459996,-0.000058,-0.000227,-0.001974,0.1525762267510118,,0.00,0.00,0.00,0.000000,183.7,205.25,13.56,-52.85,,,,0.00
1776647847.168498,9,183.9,track,ibvs,protein_bar_pbvs,675,439,0.022983,0.051873,0.459633,-0.000092,-0.000223,-0.001973,0.17880252854474044,,0.00,0.00,0.00,0.000000,184.5,205.25,13.56,-52.85,,,,0.00
1776647847.353240,10,184.7,track,ibvs,protein_bar_pbvs,675,439,0.023070,0.052071,0.461387,-0.000018,-0.000038,-0.000333,0.09079065412566953,0.46188606072732474,0.00,0.00,0.00,0.000000,213.8,205.25,13.56,-52.85,,,,0.00
1776647847.567303,11,214.1,track,ibvs,protein_bar_pbvs,675,440,0.023063,0.052663,0.461257,-0.000027,0.002031,-0.000560,0.10843576754769284,,0.00,0.00,0.00,0.000000,182.7,205.26,7.51,-52.85,,,,0.00
1776647847.750236,12,182.9,track,ibvs,protein_bar_pbvs,672,440,0.021283,0.052757,0.461347,-0.006953,0.000920,-0.000029,0.12667668365259482,,0.00,0.00,0.00,0.000000,183.0,205.26,7.51,-52.85,,,,0.00
1776647847.933495,13,183.3,track,ibvs,protein_bar_pbvs,666,440,0.017313,0.052464,0.458908,-0.016869,0.000045,-0.001515,0.14680961569501047,,0.00,0.00,0.00,0.000000,183.3,205.25,5.56,-52.85,,,,0.00
1776647848.116984,14,183.5,track,ibvs,protein_bar_pbvs,664,440,0.015661,0.052726,0.461293,-0.011746,0.000068,0.000400,0.1676059900302822,,0.00,0.00,0.00,0.000000,180.4,205.25,5.56,-52.85,,,,0.00
1776647848.297675,15,180.7,track,ibvs,protein_bar_pbvs,664,440,0.016317,0.055620,0.486666,-0.003869,0.002039,0.018110,0.08917849429181739,0.494321029095081,0.00,0.00,0.00,0.000000,215.0,205.25,5.57,-50.41,,,,0.00
1776647848.512942,16,215.3,track,ibvs,protein_bar_pbvs,664,441,0.016684,0.056642,0.490035,0.000280,0.004185,0.017556,0.10435299102353926,,0.00,0.00,0.00,0.000000,176.8,205.25,5.57,-50.41,,,,0.00
1776647848.689956,17,177.0,track,ibvs,protein_bar_pbvs,664,444,0.016870,0.058914,0.492585,0.000856,0.010332,0.016558,0.11922942610099371,,0.00,0.00,0.00,0.000000,186.1,205.25,5.57,-44.85,,,,0.00
1776647848.876257,18,186.3,track,ibvs,protein_bar_pbvs,664,449,0.016945,0.062597,0.494098,0.000675,0.017347,0.014718,0.1367332803860256,,0.00,0.00,0.00,0.000000,181.9,205.25,5.57,-44.85,,,,0.00
1776647849.058368,19,182.1,track,ibvs,protein_bar_pbvs,664,451,0.017082,0.064886,0.498111,0.000603,0.013616,0.016102,0.15519668903745806,,0.00,0.00,0.00,0.000000,182.4,205.25,5.57,-44.85,,,,0.00
1776647849.240986,20,182.6,track,ibvs,protein_bar_pbvs,664,451,0.017549,0.066835,0.511818,0.000832,0.007420,0.024237,0.08770335842765017,0.5156407391327626,0.00,0.00,0.00,0.000000,212.6,205.25,5.57,-44.85,,,,0.00
1776647849.453880,21,212.9,track,ibvs,protein_bar_pbvs,664,451,0.017718,0.067295,0.516773,0.000837,0.003737,0.024576,0.10182442783663967,,0.00,0.00,0.00,0.000000,182.6,205.25,5.57,-44.85,,,,0.00
1776647849.636757,22,182.9,track,ibvs,protein_bar_pbvs,664,451,0.017871,0.067787,0.521255,0.000843,0.003028,0.024646,0.11649071623949935,,0.00,0.00,0.00,0.000000,181.1,205.25,5.57,-44.85,,,,0.00
1776647849.818132,23,181.4,track,ibvs,protein_bar_pbvs,664,451,0.018025,0.068343,0.525724,0.000845,0.003053,0.024643,0.13306185604147674,,0.00,0.00,0.00,0.000000,180.6,205.25,5.57,-44.85,,,,0.00
1776647849.998958,24,180.8,track,ibvs,protein_bar_pbvs,664,451,0.018177,0.068919,0.530175,0.000845,0.003144,0.024630,0.15130774969397007,,0.00,0.00,0.00,0.000000,183.3,205.25,5.57,-44.85,,,,0.00
1776647850.182514,25,183.6,track,ibvs,protein_bar_pbvs,664,451,0.017742,0.067269,0.517451,0.000456,0.001720,0.013255,0.08714681836723004,0.5114670455952737,0.00,0.00,0.00,0.000000,216.6,205.25,5.57,-44.85,,,,0.00
1776647850.399403,26,216.9,track,ibvs,protein_bar_pbvs,664,451,0.017840,0.067642,0.520326,0.000454,0.001720,0.013255,0.10154718256131966,,0.00,0.00,0.00,0.000000,179.7,205.25,5.57,-44.85,,,,0.00
1776647850.579291,27,179.9,track,ibvs,protein_bar_pbvs,664,451,0.017921,0.067952,0.522710,0.000454,0.001722,0.013255,0.11596277205140527,,0.00,0.00,0.00,0.000000,184.3,205.25,5.56,-50.75,,,,0.00
1776647850.763808,28,184.5,track,ibvs,protein_bar_pbvs,664,447,0.018016,0.065660,0.525503,0.000490,-0.007972,0.014518,0.1328018067692755,,0.00,0.00,0.00,0.000000,180.9,205.25,5.56,-50.75,,,,0.00
1776647850.944923,29,181.1,track,ibvs,protein_bar_pbvs,664,443,0.018053,0.062621,0.526569,0.000475,-0.013253,0.013973,0.15038753667618585,,3.00,-8.55,-12.00,0.000000,987.5,208.26,-2.99,-64.85,,,,86.40
1776647851.932702,30,987.8,track,ibvs,protein_bar_pbvs,654,427,0.010057,0.049542,0.516799,-0.007167,-0.011860,0.002765,0.09428331639133462,0.5133213362539049,3.00,-5.04,-12.00,0.000000,965.3,211.26,-8.03,-76.85,,,,68.45
1776647852.898271,31,965.6,track,ibvs,protein_bar_pbvs,647,411,0.005191,0.037857,0.519595,-0.005073,-0.012105,0.002817,0.17462765201785363,,3.00,-2.57,-12.00,0.000000,935.8,214.26,-10.60,-88.85,,,,51.48
1776647853.834386,32,936.1,track,ibvs,protein_bar_pbvs,645,394,0.003723,0.025361,0.522083,-0.001621,-0.013319,0.002812,0.29207246334475323,,3.00,-1.83,-12.00,0.000000,933.0,217.26,-12.43,-100.85,,,,34.37
1776647854.767649,33,933.3,track,ibvs,protein_bar_pbvs,642,376,0.001500,0.011989,0.524445,-0.002370,-0.014302,0.002728,0.4342899473027758,,3.00,-0.74,-5.88,0.000000,642.6,220.26,-13.17,-106.74,,,,16.12
1776647855.410505,34,642.9,track,ibvs,protein_bar_pbvs,647,384,0.005235,0.018036,0.539592,0.005546,0.008436,0.007253,0.5429267198432592,,3.00,-2.49,-9.01,0.000000,836.4,223.26,-15.67,-115.74,,,,25.00
