timestamp,frame,dt_ms,mode,pipeline,run_tag,centroid_u,centroid_v,ekf_x,ekf_y,ekf_z,ekf_vx,ekf_vy,ekf_vz,ekf_uncertainty,depth_metric,servo_dx_mm,servo_dy_mm,servo_dz_mm,err_m,iter_time_ms,robot_x_mm,robot_y_mm,robot_z_mm,fp_raw_x,fp_raw_y,fp_raw_z,err_px
1776648139.447704,1,100.7,detect,ekf,protein_bar_2_ekf,638,484,-0.001454,0.090118,0.508733,0.000000,0.000000,0.000000,0.4472135954999579,0.5087331277819109,0.00,0.00,0.00,0.000000,2093.9,205.25,5.56,-52.85,,,,
1776648141.542042,2,2094.3,track,ekf,protein_bar_2_ekf,638,484,-0.001454,0.090118,0.508733,0.000000,0.000000,0.000000,1.5138756880670328,,0.00,0.00,0.00,0.000000,983.0,205.25,13.56,-52.85,,,,
1776648142.525262,3,983.2,track,ekf,protein_bar_2_ekf,630,484,-0.007264,0.090118,0.508728,-0.005886,-0.000003,-0.000016,2.203231013604059,,0.00,0.00,0.00,0.000000,92.2,205.25,13.56,-52.85,,,,
1776648142.617725,4,92.5,track,ekf,protein_bar_2_ekf,652,481,-0.008911,0.287765,1.635108,0.010114,0.047584,0.354552,0.8751235619035616,,0.00,0.00,0.00,0.000000,184.5,205.25,13.56,-52.85,,,,
1776648142.802508,5,184.8,track,ekf,protein_bar_2_ekf,652,481,0.030570,0.084356,0.500481,0.124850,-0.014507,-0.005003,0.10140287706378823,0.49000994062547654,0.00,0.00,0.00,0.000000,123.4,205.25,13.56,-52.85,,,,
1776648142.926202,6,123.7,track,ekf,protein_bar_2_ekf,652,481,0.019321,0.102787,0.600085,0.040935,0.001999,0.042804,0.08973098449960197,,0.00,0.00,0.00,0.000000,92.8,205.25,13.56,-52.85,,,,
1776648143.019192,7,93.0,track,ekf,protein_bar_2_ekf,652,481,0.010727,0.093889,0.544126,-0.005407,0.002706,0.016024,0.07975061868167714,,0.00,0.00,0.00,0.000000,93.9,205.25,13.56,-52.85,,,,
1776648143.113329,8,94.1,track,ekf,protein_bar_2_ekf,652,481,0.009495,0.093851,0.543164,-0.008292,0.003056,0.014524,0.0838498520875961,,0.00,0.00,0.00,0.000000,93.2,205.25,13.56,-52.85,,,,
1776648143.206908,9,93.6,track,ekf,protein_bar_2_ekf,652,481,0.009173,0.094145,0.544622,-0.006145,0.003012,0.014507,0.09460713732641218,,0.00,0.00,0.00,0.000000,94.2,205.25,13.56,-52.85,,,,
1776648143.301930,10,95.0,track,ekf,protein_bar_2_ekf,652,481,0.008726,0.089079,0.515254,-0.002416,-0.004049,-0.024528,0.0737028517874859,0.48800039064218337,0.00,0.00,0.00,0.000000,142.0,205.25,13.56,-52.85,,,,
1776648143.444461,11,142.5,track,ekf,protein_bar_2_ekf,652,481,0.008705,0.088435,0.511568,-0.001112,-0.004191,-0.024561,0.0885720902350028,,0.00,0.00,0.00,0.000000,96.3,205.25,13.56,-52.85,,,,
1776648143.541031,12,96.6,track,ekf,protein_bar_2_ekf,652,481,0.008696,0.088014,0.509154,-0.000631,-0.004237,-0.024574,0.10007202002132196,,0.00,0.00,0.00,0.000000,99.2,205.25,13.56,-52.85,,,,
1776648143.640474,13,99.4,track,ekf,protein_bar_2_ekf,652,481,0.008674,0.087588,0.506703,-0.000437,-0.004252,-0.024576,0.11282577078363429,,0.00,0.00,0.00,0.000000,99.9,205.25,13.56,-52.85,,,,
