timestamp,frame,dt_ms,mode,pipeline,run_tag,centroid_u,centroid_v,ekf_x,ekf_y,ekf_z,ekf_vx,ekf_vy,ekf_vz,ekf_uncertainty,depth_metric,servo_dx_mm,servo_dy_mm,servo_dz_mm,err_m,iter_time_ms,robot_x_mm,robot_y_mm,robot_z_mm,fp_raw_x,fp_raw_y,fp_raw_z,err_px
1776648437.818381,1,100.6,detect,ekf,tofu_box_ekf,618,515,-0.008678,0.061138,0.276108,0.000000,0.000000,0.000000,0.4472135954999579,0.2761080289352766,0.00,0.00,0.00,0.000000,2168.1,205.25,5.56,-52.85,,,,
1776648439.987164,2,2168.8,track,ekf,tofu_box_ekf,625,547,-0.005834,0.073178,0.273478,0.001284,0.005435,-0.001163,1.5651223855683423,,0.00,0.00,0.00,0.000000,1097.8,205.25,13.56,-52.85,,,,
1776648441.085193,3,1098.0,track,ekf,tofu_box_ekf,642,544,0.000224,0.081437,0.306203,0.006119,0.003187,0.010161,1.849661893648607,,0.00,0.00,0.00,0.000000,194.2,205.25,13.56,-52.85,,,,
1776648441.279646,4,194.5,track,ekf,tofu_box_ekf,643,544,0.001236,0.075639,0.287997,0.003734,-0.000952,0.005265,0.579609216465942,,0.00,0.00,0.00,0.000000,195.6,205.25,13.56,-52.85,,,,
1776648441.475552,5,195.9,track,ekf,tofu_box_ekf,642,547,0.002630,0.139106,0.526871,0.007346,0.017085,0.089402,0.1007149295932144,0.542352971403127,0.00,0.00,0.00,0.000000,235.2,205.25,13.56,-52.85,,,,
1776648441.711034,6,235.5,track,ekf,tofu_box_ekf,642,547,0.001845,0.145334,0.545210,-0.001233,0.026944,0.088709,0.11521274520849176,,0.00,0.00,0.00,0.000000,191.8,205.25,13.56,-52.85,,,,
1776648441.903010,7,192.0,track,ekf,tofu_box_ekf,643,544,0.002325,0.148823,0.564974,0.001345,0.018977,0.092142,0.13440268322920057,,0.00,0.00,0.00,0.000000,202.2,205.25,13.56,-52.85,,,,
1776648442.105372,8,202.4,track,ekf,tofu_box_ekf,642,544,0.001780,0.153523,0.584376,-0.001498,0.021307,0.092253,0.15971798192637515,,0.00,0.00,0.00,0.000000,197.6,205.25,13.56,-52.85,,,,
1776648442.303123,9,197.8,track,ekf,tofu_box_ekf,642,547,0.001689,0.160345,0.601677,-0.000776,0.030672,0.089608,0.1883904418448571,,0.00,0.00,0.00,0.000000,201.5,205.25,13.01,-52.85,,,,
1776648442.504845,10,201.7,track,ekf,tofu_box_ekf,642,547,0.001633,0.153702,0.574995,-0.000064,0.018409,0.057294,0.09383769742430512,0.564610589789236,0.00,0.00,0.00,0.000000,235.9,205.25,13.01,-52.85,,,,
1776648442.741418,11,236.6,track,ekf,tofu_box_ekf,633,548,-0.005196,0.158123,0.588760,-0.021053,0.018466,0.057406,0.11304998010217882,,0.00,0.00,0.00,0.000000,189.7,205.25,5.62,-52.85,,,,
1776648442.931277,12,189.9,track,ekf,tofu_box_ekf,628,548,-0.010124,0.160756,0.598301,-0.024444,0.016407,0.056718,0.13015031444768288,,0.00,0.00,0.00,0.000000,191.6,205.25,5.62,-52.85,,,,
1776648443.123075,13,191.8,track,ekf,tofu_box_ekf,626,548,-0.012554,0.163953,0.610328,-0.016438,0.015872,0.058175,0.15105884050375162,,0.00,0.00,0.00,0.000000,190.7,205.25,5.56,-52.85,,,,
1776648443.314019,14,190.9,track,ekf,tofu_box_ekf,626,548,-0.012817,0.166304,0.619185,-0.006465,0.015369,0.057299,0.17355799356111803,,0.00,0.00,0.00,0.000000,189.7,205.25,5.56,-52.85,,,,
1776648443.504025,15,190.0,track,ekf,tofu_box_ekf,625,548,-0.012098,0.152094,0.566264,-0.004021,0.004078,0.014965,0.09194167443634145,0.5487927520392342,0.00,0.00,0.00,0.000000,233.1,205.25,5.57,-45.91,,,,
1776648443.737418,16,233.4,track,ekf,tofu_box_ekf,625,551,-0.012273,0.155134,0.569298,-0.001668,0.010505,0.013360,0.10836906084050622,,0.00,0.00,0.00,0.000000,187.6,205.25,5.57,-45.91,,,,
1776648443.925211,17,187.8,track,ekf,tofu_box_ekf,624,550,-0.013038,0.155769,0.573060,-0.003279,0.004831,0.015502,0.12412007419145675,,0.00,0.00,0.00,0.000000,190.7,205.25,5.56,-44.85,,,,
