timestamp,frame,dt_ms,mode,pipeline,run_tag,centroid_u,centroid_v,ekf_x,ekf_y,ekf_z,ekf_vx,ekf_vy,ekf_vz,ekf_uncertainty,depth_metric,servo_dx_mm,servo_dy_mm,servo_dz_mm,err_m,iter_time_ms,robot_x_mm,robot_y_mm,robot_z_mm,fp_raw_x,fp_raw_y,fp_raw_z,err_px
1776648641.346500,1,100.3,detect,ibvs,tofu_box_pbvs,613,516,-0.018919,0.109309,0.490487,0.000000,0.000000,0.000000,0.4472135954999579,0.4904873970299938,0.00,0.00,0.00,0.000000,2052.1,205.25,5.56,-52.85,,,,0.00
1776648643.399013,2,2052.5,track,ibvs,tofu_box_pbvs,622,545,-0.012452,0.128700,0.486321,0.003077,0.009228,-0.001938,1.4846400400264221,,0.00,0.00,0.00,0.000000,1073.6,205.25,13.56,-52.85,,,,0.00
1776648644.472888,3,1073.9,track,ibvs,tofu_box_pbvs,633,540,-0.006037,0.142580,0.547324,0.007378,0.004742,0.019939,1.827673428988028,,0.00,0.00,0.00,0.000000,184.7,205.25,13.56,-52.85,,,,0.00
1776648644.657841,4,185.0,track,ibvs,tofu_box_pbvs,633,540,-0.005117,0.131466,0.511659,0.001710,-0.001999,0.009368,0.6278019695403229,,0.00,0.00,0.00,0.000000,188.8,205.25,13.56,-52.85,,,,0.00
1776648644.846875,5,189.0,track,ibvs,tofu_box_pbvs,633,540,-0.005127,0.132626,0.516115,0.000593,0.001266,0.010310,0.10162648352739852,0.5168722448891269,0.00,0.00,0.00,0.000000,214.4,205.25,13.56,-52.85,,,,0.00
1776648645.061532,6,214.7,track,ibvs,tofu_box_pbvs,633,540,-0.005163,0.133170,0.518013,0.000030,0.002430,0.010159,0.11393513160045068,,0.00,0.00,0.00,0.000000,184.3,205.25,13.56,-52.85,,,,0.00
1776648645.246020,7,184.5,track,ibvs,tofu_box_pbvs,633,540,-0.005194,0.133670,0.519857,-0.000107,0.002645,0.010107,0.13203855370375187,,0.00,0.00,0.00,0.000000,184.6,205.25,13.56,-52.85,,,,0.00
1776648645.430836,8,184.8,track,ibvs,tofu_box_pbvs,633,540,-0.005217,0.134158,0.521725,-0.000118,0.002641,0.010108,0.15491201676336236,,0.00,0.00,0.00,0.000000,188.6,205.25,13.56,-52.85,,,,0.00
1776648645.619637,9,188.8,track,ibvs,tofu_box_pbvs,633,540,-0.005237,0.134650,0.523635,-0.000109,0.002616,0.010115,0.18164947734945544,,0.00,0.00,0.00,0.000000,186.5,205.25,13.56,-52.85,,,,0.00
1776648645.806376,10,186.7,track,ibvs,tofu_box_pbvs,633,540,-0.005244,0.134831,0.524343,-0.000094,0.002375,0.009222,0.09288954755688424,0.5240578361743073,0.00,0.00,0.00,0.000000,215.5,205.25,13.56,-52.85,,,,0.00
